Fact,Fact Note,"Lake Forest city, Illinois","Value Note for Lake Forest city, Illinois","Mundelein village, Illinois","Value Note for Mundelein village, Illinois","Lincolnshire village, Illinois","Value Note for Lincolnshire village, Illinois","Libertyville village, Illinois","Value Note for Libertyville village, Illinois","Vernon Hills village, Illinois","Value Note for Vernon Hills village, Illinois","Lake County, Illinois","Value Note for Lake County, Illinois"
"Population estimates, July 1, 2019,  (V2019)",,"19,446",,"31,051",,"7,893",,"20,205",,"26,521",,"696,535",
"Population estimates base, April 1, 2010,  (V2019)",,"19,379",,"30,986",,"7,308",,"20,405",,"25,005",,"703,400",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,0.30%,,0.20%,,8.00%,,-1.00%,,6.10%,,-1.00%,
"Population, Census, April 1, 2020",,X,,X,,X,,X,,X,,X,
"Population, Census, April 1, 2010",,"19,375",,"31,064",,"7,275",,"20,315",,"25,113",,"703,462",
"Persons under 5 years, percent",,4.10%,,7.30%,,2.10%,,3.80%,,4.90%,,5.70%,
"Persons under 18 years, percent",,22.00%,,23.10%,,18.80%,,25.40%,,26.90%,,23.90%,
"Persons 65 years and over, percent",,23.60%,,13.50%,,35.00%,,16.00%,,13.00%,,14.80%,
"Female persons, percent",,51.50%,,49.30%,,50.80%,,51.40%,,50.80%,,50.00%,
"White alone, percent",,87.50%,,74.30%,,83.50%,,89.30%,,65.80%,,80.90%,
"Black or African American alone, percent",(a),1.40%,,2.00%,,0.60%,,1.00%,,2.70%,,7.50%,
"American Indian and Alaska Native alone, percent",(a),0.50%,,0.50%,,0.10%,,0.40%,,0.20%,,0.90%,
"Asian alone, percent",(a),8.80%,,12.40%,,14.60%,,6.80%,,23.60%,,8.40%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.00%,,0.10%,,0.00%,,0.00%,,0.00%,,0.10%,
"Two or More Races, percent",,1.40%,,2.60%,,1.10%,,1.60%,,3.80%,,2.20%,
"Hispanic or Latino, percent",(b),4.10%,,31.60%,,3.00%,,4.90%,,14.90%,,22.40%,
"White alone, not Hispanic or Latino, percent",,84.30%,,51.60%,,80.70%,,85.80%,,55.70%,,60.60%,
"Veterans, 2015-2019",,827,,"1,170",,473,,563,,563,,"30,351",
"Foreign born persons, percent, 2015-2019",,14.20%,,30.70%,,17.00%,,10.80%,,32.80%,,18.70%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,"265,507",
"Owner-occupied housing unit rate, 2015-2019",,86.10%,,74.40%,,83.60%,,79.90%,,64.40%,,73.00%,
"Median value of owner-occupied housing units, 2015-2019",,"$842,900 ",,"$237,500 ",,"$508,700 ",,"$447,900 ",,"$348,900 ",,"$265,100 ",
"Median selected monthly owner costs -with a mortgage, 2015-2019",,"$4,000+",,"$1,895 ",,"$3,635 ",,"$2,954 ",,"$2,594 ",,"$2,191 ",
"Median selected monthly owner costs -without a mortgage, 2015-2019",,"$1,500+",,$873 ,,"$1,403 ",,"$1,182 ",,$980 ,,$911 ,
"Median gross rent, 2015-2019",,"$1,831 ",,"$1,418 ",,"$2,791 ",,"$1,313 ",,"$1,609 ",,"$1,197 ",
"Building permits, 2020",,X,,X,,X,,X,,X,,780,
"Households, 2015-2019",,"7,005",,"10,819",,"3,104",,"7,435",,"9,735",,"246,122",
"Persons per household, 2015-2019",,2.59,,2.89,,2.34,,2.68,,2.7,,2.78,
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",,86.00%,,89.70%,,91.30%,,88.30%,,88.80%,,87.20%,
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",,15.00%,,45.80%,,20.70%,,13.40%,,43.80%,,28.80%,
"Households with a computer, percent, 2015-2019",,96.10%,,95.90%,,89.20%,,93.10%,,94.80%,,94.20%,
"Households with a broadband Internet subscription, percent, 2015-2019",,94.20%,,93.10%,,84.70%,,91.20%,,90.30%,,89.80%,
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",,99.20%,,87.90%,,96.70%,,97.60%,,94.40%,,90.60%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",,80.50%,,43.40%,,70.10%,,70.70%,,63.20%,,45.30%,
"With a disability, under age 65 years, percent, 2015-2019",,3.30%,,3.70%,,6.20%,,4.80%,,2.30%,,6.00%,
"Persons  without health insurance, under age 65 years, percent",,2.00%,,9.10%,,0.90%,,2.50%,,6.30%,,8.20%,
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",,55.60%,,70.90%,,50.40%,,66.50%,,69.50%,,67.30%,
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",,44.60%,,65.60%,,41.10%,,58.60%,,61.70%,,61.70%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),D,,"53,234",,"98,279",,"74,951",,"103,851",,"1,399,245",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"362,053",,"26,961",,"83,958",,"598,134",,"169,190",,"4,026,344",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"451,601",,"894,355",,"422,379",,"622,676",,"12,045,977",
"Total retail sales, 2012 ($1,000)",(c),"147,033",,"332,541",,D,,"749,338",,"2,085,348",,"14,900,534",
"Total retail sales per capita, 2012",(c),"$7,599 ",,"$10,642 ",,NA,,"$36,804 ",,"$81,211 ",,"$21,222 ",
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",,33.6,,28.4,,26.7,,26.8,,29.6,,30.4,
"Median household income (in 2019 dollars), 2015-2019",,"$172,165 ",,"$93,027 ",,"$116,316 ",,"$134,110 ",,"$104,199 ",,"$89,427 ",
"Per capita income in past 12 months (in 2019 dollars), 2015-2019",,"$99,907 ",,"$38,538 ",,"$75,371 ",,"$66,519 ",,"$49,455 ",,"$45,766 ",
"Persons in poverty, percent",,2.80%,,5.00%,,5.40%,,3.00%,,6.50%,,7.20%,
"Total employer establishments, 2019",,X,,X,,X,,X,,X,,"19,832",
"Total employment, 2019",,X,,X,,X,,X,,X,,"317,680",
"Total annual payroll, 2019 ($1,000)",,X,,X,,X,,X,,X,,"24,158,775",
"Total employment, percent change, 2018-2019",,X,,X,,X,,X,,X,,-0.10%,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,"56,075",
"All firms, 2012",,"2,705",,"2,941",,"1,017",,"2,590",,"2,954",,"63,647",
"Men-owned firms, 2012",,"1,541",,"1,749",,585,,"1,514",,"1,758",,"35,255",
"Women-owned firms, 2012",,754,,948,,173,,747,,853,,"21,379",
"Minority-owned firms, 2012",,219,,589,,149,,290,,512,,"12,759",
"Nonminority-owned firms, 2012",,"2,220",,"2,263",,795,,"2,163",,"2,233",,"48,789",
"Veteran-owned firms, 2012",,380,,213,,113,,216,,145,,"4,758",
"Nonveteran-owned firms, 2012",,"2,049",,"2,579",,782,,"2,193",,"2,597",,"55,982",
"Population per square mile, 2010",,"1,127.90",,"3,247.70",,"1,589.10",,"2,304.90",,"3,258.00",,"1,585.60",
"Land area in square miles, 2010",,17.18,,9.57,,4.58,,8.81,,7.71,,443.67,
FIPS Code,,"""1741105""",,"""1751349""",,"""1743666""",,"""1743250""",,"""1777694""",,"""17097""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
