index,name,coordinates_lat,coordinates_long,categories,review_count,rating,Services
0,bb.q Chicken - Vernon Hills,42.24006,-87.9411,chickenshop,20,4.5,"['delivery', 'pickup']"
1,Bonta,42.1991299,-87.93302,cafes,499,4.5,"['pickup', 'delivery']"
2,Ramen House Shinchan,42.238635,-87.941136,ramen,73,4.0,"['pickup', 'delivery']"
3,Lazy Dog Restaurant & Bar,42.24452,-87.94513,burgers,727,4.0,"['pickup', 'delivery']"
4,Zocalo Mexican Bar and Grill,42.2300346,-87.9769051,mexican,213,4.5,"['delivery', 'pickup']"
5,Bella Famiglia,42.222199,-87.970158,pizza,12,4.0,"['pickup', 'delivery']"
6,Invicto,42.2420949757054,-87.9443318891231,tacos,152,4.0,['delivery']
7,Teriyaki Madness,42.24198687746965,-87.94415433395226,asianfusion,38,3.5,"['pickup', 'delivery']"
8,Kuma's sushi bowl,42.2399892351077,-87.9416033261764,sushi,181,4.5,"['delivery', 'pickup']"
9,City Works - Vernon Hills,42.243903,-87.944425,tradamerican,101,4.0,['delivery']
10,Nikkos Grecian Grill,42.24019,-87.99884,greek,151,4.5,"['delivery', 'pickup']"
11,Van's Sushi Cafe,42.201184,-87.933535,sushi,87,4.5,"['delivery', 'pickup']"
12,Lucky Burger And Grill,42.2423,-87.97839,burgers,88,4.5,"['delivery', 'pickup']"
13,Lincolnshire's Food Truck Fridays,42.1915435791016,-87.9317398071289,foodtrucks,5,4.0,[]
14,Blufish Sushi Robata,42.238507,-87.94773,japanese,376,4.5,"['delivery', 'pickup']"
15,Buttermilk - Vernon Hills,42.2433244,-87.9444856,breakfast_brunch,138,4.0,"['pickup', 'delivery']"
16,Hwang Dae Gham,42.2401349,-87.99665,bbq,100,4.5,"['pickup', 'delivery']"
17,Tokyo Bowl,42.2405680996437,-87.9616928100586,japanese,95,4.0,['delivery']
18,Shake Shack,42.241029,-87.941729,hotdogs,145,2.5,['delivery']
19,Blue House Korean BBQ,42.2411,-87.979129,korean,192,4.0,['delivery']
20,Portillo's Hot Dogs,42.2398607,-87.9589182,hotdog,407,3.5,['delivery']
21,Milkcow Cafe,42.2416541320939,-87.958655,icecream,85,4.5,['delivery']
22,Calzone & Macaroni,42.2415346021213,-87.9578080565549,italian,217,4.0,['delivery']
23,Garden Berry Cafe,42.23319,-87.98712,breakfast_brunch,187,4.0,"['pickup', 'delivery']"
24,Pita Inn,42.24008,-87.99042,mediterranean,223,4.0,"['delivery', 'pickup']"
25,Burrito Express,42.241916,-87.959078,mexican,74,4.0,['delivery']
26,Scotty's On 21,42.238859,-87.947608,newamerican,50,4.0,['delivery']
27,Kuma's Corner - Vernon Hills,42.2430702813741,-87.9444503301636,burgers,231,3.5,"['pickup', 'delivery']"
28,Woodfire Tavern,42.208478,-87.992036,bbq,59,3.5,"['delivery', 'pickup']"
29,City Barbeque,42.242611,-87.944045,bbq,135,3.5,"['pickup', 'delivery']"
30,Next Door American Eatery,42.24264537130247,-87.94393731104462,newamerican,119,3.5,['delivery']
31,Momo sushi,42.25337483,-88.00163317,sushi,31,4.5,['delivery']
32,Fried Egg Cafe,42.2033591867987,-87.9337753728032,breakfast_brunch,145,4.0,"['delivery', 'pickup']"
33,Slyce Coal Fired Pizza,42.2431073,-87.9437017,pizza,19,3.5,"['delivery', 'pickup']"
34,Angela's Caribbean Cuisine,42.242959,-87.950306,caribbean,8,5.0,"['pickup', 'delivery']"
35,Chick-fil-A,42.23878031819957,-87.94370562944205,hotdogs,130,3.5,['delivery']
36,Fairgrounds Coffee and Tea,42.24278,-87.94491,coffee,45,4.0,"['pickup', 'delivery']"
37,MOD Pizza,42.238385,-87.943494,pizza,129,4.0,"['pickup', 'delivery']"
38,Sushi Thai Restaurant,42.2400118318507,-87.953833937645,japanese,182,3.5,"['delivery', 'pickup']"
39,Real Urban Barbecue,42.203618,-87.933646,bbq,428,3.5,"['delivery', 'pickup']"
40,Roti,42.2414108732175,-87.9448227774808,mediterranean,37,3.0,"['delivery', 'pickup']"
41,Taco Bell,42.239388,-87.993922,hotdogs,18,3.0,['delivery']
42,Salsa Street Mexican Restaurant & Cantina,42.2030601569,-87.9354790628,mexican,28,3.5,"['delivery', 'pickup']"
43,Jameson's Charhouse Vernon Hills,42.239839,-87.960942,steak,50,3.5,"['pickup', 'delivery']"
44,Buffalo Wild Wings,42.2399621884789,-87.973392,tradamerican,185,2.0,['delivery']
45,Starfish Sushi,42.2036299,-87.93211,japanese,250,4.0,"['pickup', 'delivery']"
46,Culver's,42.2000541687012,-87.9323883056641,hotdogs,23,4.0,[]
47,McAlister's Deli,42.240002642016236,-87.96792826823726,salad,72,3.5,"['delivery', 'pickup']"
48,Osaka Sushi,42.2417775,-87.9776827,sushi,158,4.0,"['delivery', 'pickup']"
49,Liquor Barn,42.23849,-87.94647,beer_and_wine,4,5.0,[]
50,Potbelly Sandwich Shop,42.2397509215836,-87.947678,sandwiches,58,3.5,"['delivery', 'pickup']"
51,Tai Chi Green Tea,42.219897,-87.96074,coffee,1,5.0,[]
52,Café Zupas,42.2425082,-87.944775,sandwiches,50,3.5,"['pickup', 'delivery']"
53,Prairie House Tavern,42.198109,-87.956441,bars,115,3.5,"['delivery', 'pickup']"
54,Mambo Italiano,42.252286,-87.981057,italian,330,4.0,"['delivery', 'pickup']"
55,Carnitas Don Chuy,42.253149061124,-88.0015904953834,mexican,50,4.0,['delivery']
56,Wright's Brew & Bistro,42.196041,-87.924377,burgers,33,3.0,"['pickup', 'delivery']"
57,Walker Bros Original Pancake House,42.194362,-87.931605,breakfast_brunch,305,4.0,['delivery']
58,Three Embers Restaurant,42.1958494773623,-87.924481222229,newamerican,38,4.0,['delivery']
59,Prairie City Bakery,42.2284507751465,-87.9561996459961,bakeries,2,3.0,[]
60,Yu's Mandarin,42.23995,-87.96315,chinese,183,2.5,"['pickup', 'delivery']"
61,Desi Needs,42.222198,-87.970591,herbsandspices,4,3.0,[]
62,Ararat,42.24138838260695,-87.99799895475286,mediterranean,71,4.0,['pickup']
63,Tous Les Jours,42.2412206,-87.951883,bakeries,42,4.5,[]
64,The Claim Company of Vernon Hills,42.2431346321155,-87.9517510498262,tradamerican,128,3.5,"['pickup', 'delivery']"
65,Bende,42.215827,-87.94284,meats,16,4.5,[]
66,Green Basil,42.239116070097,-87.9415825433777,thai,248,3.5,"['delivery', 'pickup']"
67,Half Day Brewing Company,42.202418,-87.930964,pubs,291,3.0,"['delivery', 'pickup']"
68,L.I.T Nation Nutrition,42.23012,-87.97639,juicebars,2,5.0,[]
69,Sushi Kushi San3,42.240036,-87.972296,sushi,238,3.5,"['delivery', 'pickup']"
70,Lauretta's Italian Bake Shop & Cafe,42.2536231577396,-88.0004500597715,bakeries,166,4.5,['delivery']
71,Nirvana Wine & Grillerie,42.238814,-87.94113,beer_and_wine,221,4.0,"['delivery', 'pickup']"
